label,album_count,avg_popularity
Arista Records,2,35.5
Warner Records,2,17.5
300 Entertainment,1,34.0
Sparrow (SPR),1,62.0
No Art,1,60.0
OVO Sound,1,0.0
Oh Boy Records,1,0.0
Parlophone UK,1,30.0
Partisan Records,1,28.0
Pearl Jam/Monkeywrench,1,58.0
R&R Digital,1,28.0
RCA Records Label,1,44.0
Sony Music Latin,1,60.0
"Still Woozy Productions Inc., under exclusive license to Interscope Records",1,39.0
"Mozzy Records, Inc.",1,45.0
Taylor Swift,1,84.0
Three Six Zero Recordings,1,35.0
UMC (Universal Music Catalogue),1,54.0
Warner Music Africa,1,51.0
Wheelhouse Records,1,40.0
Wilburn Holding Co./Boominati/Epic/Republic,1,77.0
Wyatt Flores - OEG Music PS/ Island,1,61.0
XL Recordings,1,50.0
Native Sounds/Def Jam PS,1,45.0
Monkey Puzzle/Atlantic,1,32.0
ALC / Gangrene,1,35.0
G59 Records,1,52.0
Acqustic,1,51.0
Artist Partner Group,1,14.0
Atlantic Records,1,25.0
BMG Rights Management (US) LLC,1,36.0
Ballona Record Company,1,24.0
Capitol Records,1,61.0
DIEMON,1,53.0
DJ Snake Music Productions Limited,1,49.0
Debbii Dawson Music/RCA Records,1,41.0
Home Grown Music/Warner Music Nashville,1,39.0
Monday Records,1,36.0
Island Records,1,79.0
Jagjaguwar,1,24.0
Keep Cool/RCA Records,1,41.0
Kemosabe Records/RCA Records/Sony Music Latin,1,50.0
Kygo/RCA Records,1,62.0
La Industria INC,1,0.0
Legacy Recordings,1,28.0
"LoveTap Records, LLC, under exclusive license to Capitol Records",1,27.0
Mass Appeal,1,37.0
Young,1,53.0
